country,yearofbirth,Democracy
Afghanistan,1987,0
Afghanistan,1986,0
Afghanistan,1985,0
Afghanistan,1984,0
Afghanistan,1983,0
Afghanistan,1982,0
Afghanistan,1981,0
Afghanistan,1980,0
Afghanistan,1979,0
Afghanistan,1978,0
Afghanistan,1977,0
Afghanistan,1976,0
Afghanistan,1975,0
Afghanistan,1974,0
Afghanistan,1973,0
Afghanistan,1972,0
Afghanistan,1971,0
Afghanistan,1970,0
Afghanistan,1969,0
Afghanistan,1968,0
Afghanistan,1967,0
Afghanistan,1966,0
Afghanistan,1965,0
Afghanistan,1964,0
Afghanistan,1963,0
Afghanistan,1962,0
Afghanistan,1961,0
Afghanistan,1960,0
Afghanistan,1959,0
Afghanistan,1958,0
Afghanistan,1957,0
Afghanistan,1956,0
Afghanistan,1955,0
Afghanistan,1954,0
Afghanistan,1952,0
Afghanistan,1950,0
Afghanistan,1949,0
Afghanistan,1947,0
Afghanistan,1945,0
Afghanistan,1944,0
Afghanistan,1942,0
Afghanistan,1937,0
Afghanistan,1935,0
Afghanistan,1927,0
Afghanistan,1925,0
Algeria,1987,0
Algeria,1986,0
Algeria,1985,0
Algeria,1984,0
Algeria,1983,0
Algeria,1982,0
Algeria,1981,0
Algeria,1980,0
Algeria,1979,0
Algeria,1978,0
Algeria,1977,0
Algeria,1976,0
Algeria,1975,0
Algeria,1974,0
Algeria,1973,0
Algeria,1972,0
Algeria,1971,0
Algeria,1970,0
Algeria,1969,0
Algeria,1968,0
Algeria,1967,0
Algeria,1966,0
Algeria,1965,0
Algeria,1964,0
Algeria,1963,0
Algeria,1962,0
Algeria,1961,0
Algeria,1960,0
Algeria,1959,0
Algeria,1958,0
Algeria,1957,0
Algeria,1956,0
Algeria,1955,0
Algeria,1954,0
Algeria,1953,0
Algeria,1952,0
Algeria,1951,0
Algeria,1950,0
Algeria,1949,0
Algeria,1948,0
Algeria,1947,0
Algeria,1946,0
Algeria,1945,0
Algeria,1944,0
Algeria,1943,0
Algeria,1942,0
Algeria,1940,0
Algeria,1929,0
Algeria,1919,0
Argentina,1987,1
Argentina,1986,1
Argentina,1985,1
Argentina,1984,1
Argentina,1983,1
Argentina,1982,1
Argentina,1981,1
Argentina,1980,1
Argentina,1979,1
Argentina,1978,1
Argentina,1977,1
Argentina,1976,1
Argentina,1975,1
Argentina,1974,1
Argentina,1973,1
Argentina,1972,1
Argentina,1971,1
Argentina,1970,1
Argentina,1969,1
Argentina,1968,1
Argentina,1967,1
Argentina,1966,1
Argentina,1965,1
Argentina,1964,1
Argentina,1963,1
Argentina,1962,0
Argentina,1961,0
Argentina,1960,0
Argentina,1959,0
Argentina,1958,0
Argentina,1957,0
Argentina,1956,0
Argentina,1955,0
Argentina,1954,0
Argentina,1953,0
Argentina,1952,0
Argentina,1951,0
Argentina,1950,0
Argentina,1949,0
Argentina,1948,0
Argentina,1947,0
Argentina,1946,0
Argentina,1945,0
Argentina,1944,0
Argentina,1943,0
Argentina,1942,0
Argentina,1941,0
Argentina,1940,0
Argentina,1939,0
Argentina,1938,0
Argentina,1937,0
Argentina,1936,0
Argentina,1935,0
Argentina,1934,0
Argentina,1933,0
Argentina,1932,0
Argentina,1931,0
Argentina,1930,0
Argentina,1929,0
Argentina,1928,0
Argentina,1926,0
Argentina,1925,0
Argentina,1924,0
Argentina,1923,0
Argentina,1922,0
Argentina,1921,0
Australia,1987,1
Australia,1986,1
Australia,1985,1
Australia,1984,1
Australia,1983,1
Australia,1982,1
Australia,1981,1
Australia,1980,1
Australia,1979,1
Australia,1978,1
Australia,1977,1
Australia,1976,1
Australia,1975,1
Australia,1974,1
Australia,1973,1
Australia,1972,1
Australia,1971,1
Australia,1970,1
Australia,1969,1
Australia,1968,1
Australia,1967,1
Australia,1966,1
Australia,1965,1
Australia,1964,1
Australia,1963,1
Australia,1962,1
Australia,1961,1
Australia,1960,1
Australia,1959,1
Australia,1958,1
Australia,1957,1
Australia,1956,1
Australia,1955,1
Australia,1954,1
Australia,1953,1
Australia,1952,1
Australia,1951,1
Australia,1950,1
Australia,1949,1
Australia,1948,1
Australia,1947,1
Australia,1946,1
Australia,1945,1
Australia,1944,1
Australia,1943,1
Australia,1942,1
Australia,1941,1
Australia,1940,1
Australia,1939,1
Australia,1938,1
Australia,1937,1
Australia,1936,1
Australia,1935,1
Australia,1934,1
Australia,1933,1
Australia,1932,1
Australia,1931,1
Australia,1930,1
Australia,1929,1
Australia,1928,1
Australia,1927,1
Australia,1926,1
Australia,1925,1
Australia,1924,1
Australia,1923,1
Australia,1922,1
Australia,1920,1
Australia,1919,1
Austria,1987,1
Austria,1986,1
Austria,1985,1
Austria,1984,1
Austria,1983,1
Austria,1982,1
Austria,1981,1
Austria,1980,1
Austria,1979,1
Austria,1978,1
Austria,1977,1
Austria,1976,1
Austria,1975,1
Austria,1974,1
Austria,1973,1
Austria,1972,1
Austria,1971,1
Austria,1970,1
Austria,1969,1
Austria,1968,1
Austria,1967,1
Austria,1966,1
Austria,1965,1
Austria,1964,1
Austria,1963,1
Austria,1962,1
Austria,1961,1
Austria,1960,1
Austria,1959,1
Austria,1958,1
Austria,1957,1
Austria,1956,1
Austria,1955,1
Austria,1954,1
Austria,1953,1
Austria,1952,1
Austria,1951,1
Austria,1950,1
Austria,1949,1
Austria,1948,1
Austria,1947,1
Austria,1946,1
Austria,1945,1
Austria,1944,1
Austria,1943,1
Austria,1942,1
Austria,1941,1
Austria,1940,1
Austria,1939,1
Austria,1938,1
Austria,1937,1
Austria,1936,1
Austria,1935,1
Austria,1934,1
Austria,1933,1
Austria,1932,1
Austria,1931,1
Austria,1930,1
Austria,1929,1
Austria,1928,1
Austria,1927,1
Austria,1926,1
Austria,1925,1
Austria,1924,1
Austria,1923,0
Austria,1922,0
Austria,1921,0
Austria,1917,0
Bangladesh,1987,0
Bangladesh,1986,0
Bangladesh,1985,0
Bangladesh,1984,0
Bangladesh,1983,0
Bangladesh,1982,0
Bangladesh,1981,0
Bangladesh,1980,1
Bangladesh,1979,1
Bangladesh,1978,1
Bangladesh,1977,1
Bangladesh,1976,1
Bangladesh,1975,1
Bangladesh,1974,1
Bangladesh,1973,1
Bangladesh,1972,1
Bangladesh,1971,1
Bangladesh,1970,0
Bangladesh,1969,0
Bangladesh,1968,0
Bangladesh,1967,0
Bangladesh,1966,0
Bangladesh,1965,0
Bangladesh,1964,0
Bangladesh,1962,0
Bangladesh,1960,0
Bangladesh,1959,0
Bangladesh,1957,0
Bangladesh,1956,0
Bangladesh,1955,0
Bangladesh,1954,0
Bangladesh,1953,0
Bangladesh,1952,0
Bangladesh,1950,0
Bangladesh,1949,0
Bangladesh,1948,0
Bangladesh,1947,0
Bangladesh,1946,0
Bangladesh,1945,0
Bangladesh,1944,0
Bangladesh,1943,0
Bangladesh,1942,0
Bangladesh,1940,0
Bangladesh,1937,0
Bangladesh,1936,0
Bangladesh,1935,0
Bangladesh,1932,0
Bangladesh,1927,0
Bangladesh,1922,0
Bolivia,1987,1
Bolivia,1986,1
Bolivia,1985,1
Bolivia,1984,1
Bolivia,1983,1
Bolivia,1982,1
Bolivia,1981,1
Bolivia,1980,1
Bolivia,1979,1
Bolivia,1978,1
Bolivia,1977,1
Bolivia,1976,1
Bolivia,1975,1
Bolivia,1974,1
Bolivia,1973,1
Bolivia,1972,1
Bolivia,1971,1
Bolivia,1970,1
Bolivia,1969,1
Bolivia,1968,1
Bolivia,1967,1
Bolivia,1966,1
